experiment_name, evaluation_name, evaluation_function, measured_value, experiment_result, system_timestamp
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.504621034447293,            False,            21.199999999999957
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.95782629144666,            False,            21.399999999999956
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.4909982588792967,            False,            21.399999999999956
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.969585817786246,            False,            21.599999999999955
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.4771335049909964,            False,            21.599999999999955
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.980622053230247,            False,            21.799999999999955
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.4631236100199712,            False,            21.799999999999955
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.990927642803014,            False,            21.999999999999954
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.449058863303145,            False,            21.999999999999954
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.00049992168378,            False,            22.199999999999953
