Experiment_name, System, Variable, Value, Time
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.63829625090417,            14.59999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.8803958036880534,            14.59999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.8803958036880534,            14.59999999999998
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.618406670361207,            14.79999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.9509974169062148,            14.79999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.9509974169062148,            14.79999999999998
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.602191974642421,            14.999999999999979
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.0179966416573918,            14.999999999999979
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.0179966416573918,            14.999999999999979
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.589463923261668,            15.199999999999978
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.0812887529853885,            15.199999999999978
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.0812887529853885,            15.199999999999978
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.580028861541395,            15.399999999999977
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.1407980351613136,            15.399999999999977
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.1407980351613136,            15.399999999999977
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.573689237536511,            15.599999999999977
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.1964759885015703,            15.599999999999977
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.1964759885015703,            15.599999999999977
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.570245024292745,            15.799999999999976
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.248299519555001,            15.799999999999976
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.248299519555001,            15.799999999999976
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.569495046604423,            15.999999999999975
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.2962691263291868,            15.999999999999975
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.2962691263291868,            15.999999999999975
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.571238212068895,            16.199999999999974
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.3404070893168116,            16.199999999999974
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.3404070893168116,            16.199999999999974
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.575274646815275,            16.399999999999974
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.380755678186438,            16.399999999999974
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.380755678186438,            16.399999999999974
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.581406736814348,            16.599999999999973
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.417375383122659,            16.599999999999973
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.417375383122659,            16.599999999999973
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.589440076155567,            16.799999999999972
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.4503431789425694,            16.799999999999972
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.4503431789425694,            16.799999999999972
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.599184324107677,            16.99999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.4797508292822448,            16.99999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.4797508292822448,            16.99999999999997
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.610453973162816,            17.19999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5057032373409176,            17.19999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5057032373409176,            17.19999999999997
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.623069030602432,            17.39999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5283168488946846,            17.39999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5283168488946846,            17.39999999999997
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.63685561641852,            17.59999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5477181125469983,            17.59999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5477181125469983,            17.59999999999997
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.651646480677915,            17.79999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5640420014718177,            17.79999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            1.5640420014718177,            17.79999999999997
